client,available,held,total,locked
1779,49029.46,0.0,49029.46,true
1108,21980.355,0.0,21980.355,true
1195,186716.94,12018.88,198735.81,false
100,271139.1,1751.64,272890.72,false
1924,220507.36,14384.76,234892.12,false
790,92916.08,7442.87,100358.945,false
1640,127431.05,0.0,127431.05,true
1287,44326.875,0.0,44326.875,true
1894,130197.45,0.0,130197.45,true
1847,2216.9844,33583.34,35800.324,false
701,301391.44,31562.01,332953.44,false
992,2081.0454,0.0,2081.0454,true
50,22203.047,34400.12,56603.168,false
999,34692.168,0.0,34692.168,true
967,203449.31,0.0,203449.31,true
224,231800.6,35051.37,266851.97,false
874,326721.97,0.0,326721.97,true
1629,187458.1,19181.69,206639.78,false
1890,166762.75,0.0,166762.75,true
244,21655.629,8776.07,30431.7,false
1659,226723.17,0.0,226723.17,true
62,179743.84,47764.69,227508.53,false
909,308400.56,0.0,308400.56,true
784,28553.861,0.0,28553.861,true
1404,55436.17,2089.0,57525.17,false
436,72349.57,0.0,72349.57,true
1383,137039.14,5253.63,142292.77,false
1275,30143.383,19740.99,49884.375,false
1279,29156.375,0.0,29156.375,true
1427,6874.67,0.0,6874.67,true
1236,27602.248,0.0,27602.248,true
1357,28287.758,0.0,28287.758,true
1725,154713.83,0.0,154713.83,true
1747,213867.86,47272.9,261140.75,false
110,144074.1,440.59,144514.69,false
1478,64944.93,0.0,64944.93,true
387,179196.03,10067.26,189263.3,false
1925,70808.36,0.0,70808.36,true
1477,11658.727,0.0,11658.727,true
1340,198623.0,41042.77,239665.77,false
1350,183518.31,0.0,183518.31,true
1772,169424.22,0.0,169424.22,true
1426,42155.27,0.0,42155.27,true
308,529470.75,23825.03,553295.75,false
545,32572.39,0.0,32572.39,true
1506,6531.242,0.0,6531.242,true
424,172941.81,19424.56,192366.38,false
1088,92511.59,0.0,92511.59,true
1982,294719.9,40575.28,335295.2,false
1377,131326.42,0.0,131326.42,true
385,77844.03,0.0,77844.03,true
721,155453.55,31434.01,186887.56,false
8,135445.77,12750.73,148196.5,false
1548,135541.97,41829.91,177371.88,false
923,9640.709,0.0,9640.709,true
1413,12129.732,0.0,12129.732,true
1784,29021.492,33159.86,62181.35,false
67,144379.84,18460.83,162840.67,false
1259,76644.97,10949.35,87594.32,false
311,225602.75,0.0,225602.75,true
1263,92221.37,0.0,92221.37,true
1103,62440.17,0.0,62440.17,true
1225,42986.3,0.0,42986.3,true
778,4962.3936,0.0,4962.3936,true
817,149222.73,0.0,149222.73,true
1595,284975.4,26232.04,311207.44,false
1072,80408.625,0.0,80408.625,true
1997,27603.5,0.0,27603.5,true
342,21651.818,5876.78,27528.598,false
1803,232030.02,38486.26,270516.28,false
977,213016.77,45579.13,258595.89,false
1928,56974.25,0.0,56974.25,true
317,50007.71,34560.18,84567.89,false
315,61774.734,31976.77,93751.5,false
1020,374592.0,0.0,374592.0,true
1482,13093.828,0.0,13093.828,true
692,66811.8,0.0,66811.8,true
53,1344.5938,0.0,1344.5938,true
118,162968.03,42872.24,205840.27,false
444,58936.85,0.0,58936.85,true
1111,10057.941,0.0,10057.941,true
1331,75319.72,0.0,75319.72,true
214,51998.383,38224.05,90222.44,false
1971,135010.47,4470.29,139480.77,false
1789,50200.285,52.34,50252.625,false
407,74746.47,23250.61,97997.08,false
1002,2124.0515,0.0,2124.0515,true
163,62469.234,19614.14,82083.375,false
924,57679.047,41299.28,98978.33,false
1290,54214.656,0.0,54214.656,true
1444,261680.98,27538.55,289219.53,false
1051,138738.31,12828.72,151567.03,false
1029,127122.61,0.0,127122.61,true
1660,106694.54,29725.1,136419.64,false
1407,34230.164,0.0,34230.164,true
908,102144.734,0.0,102144.734,true
749,143088.17,29729.89,172818.06,false
1562,110689.3,0.0,110689.3,true
938,8376.381,41115.05,49491.43,false
1014,52732.71,0.0,52732.71,true
1182,16607.234,0.0,16607.234,true
656,35876.93,0.0,35876.93,true
1433,155556.33,18270.87,173827.2,false
1137,31539.016,12953.87,44492.887,false
481,249543.17,26691.43,276234.6,false
377,241.82422,42277.85,42519.676,false
1642,307927.44,15431.3,323358.75,false
1742,37733.504,40222.19,77955.695,false
403,48552.715,0.0,48552.715,true
682,25209.709,0.0,25209.709,true
1515,209497.72,0.0,209497.72,true
860,248505.92,18646.67,267152.6,false
1807,141028.0,41794.19,182822.19,false
1253,12122.328,14229.1,26351.428,false
775,154087.3,0.0,154087.3,true
1722,15798.238,0.0,15798.238,true
1833,30215.523,0.0,30215.523,true
1170,144818.45,3346.93,148165.39,false
365,2709.5884,0.0,2709.5884,true
717,71755.12,0.0,71755.12,true
1440,30757.438,0.0,30757.438,true
1600,139573.33,17376.77,156950.1,false
728,148470.36,0.0,148470.36,true
303,60449.52,0.0,60449.52,true
1474,298821.8,0.0,298821.8,true
1992,71800.87,0.0,71800.87,true
25,16612.992,9835.11,26448.102,false
1712,5487.1094,0.0,5487.1094,true
218,87682.8,30454.82,118137.62,false
418,60455.695,35327.03,95782.73,false
1963,102939.92,0.0,102939.92,true
1968,31497.213,48779.1,80276.31,false
11,161072.56,0.0,161072.56,true
586,218525.47,0.0,218525.47,true
827,18799.188,0.0,18799.188,true
1554,11391.594,46044.43,57436.023,false
400,219243.89,0.0,219243.89,true
1284,86081.164,22416.08,108497.24,false
1781,1235.6017,0.0,1235.6017,true
1486,10536.418,26549.16,37085.58,false
1294,235242.55,1969.05,237211.6,false
1010,212799.39,0.0,212799.39,true
1763,398657.7,35827.95,434485.62,false
172,9767.791,0.0,9767.791,true
993,133871.23,0.0,133871.23,true
146,140950.86,47652.64,188603.5,false
1609,212216.19,0.0,212216.19,true
1583,3899.212,24328.38,28227.594,false
164,30020.648,0.0,30020.648,true
1333,54382.758,0.0,54382.758,true
669,48394.367,21001.25,69395.62,false
762,36159.11,0.0,36159.11,true
1655,112834.86,16933.03,129767.89,false
448,13160.957,20740.71,33901.668,false
1598,98444.89,15733.86,114178.75,false
389,20140.25,11904.27,32044.52,false
652,217806.12,0.0,217806.12,true
1648,53520.477,0.0,53520.477,true
1901,129440.53,45662.7,175103.23,false
51,5254.2793,0.0,5254.2793,true
1644,63394.25,17516.48,80910.734,false
301,67219.59,0.0,67219.59,true
1114,40979.88,0.0,40979.88,true
369,31886.441,0.0,31886.441,true
594,79326.78,0.0,79326.78,true
357,65418.17,0.0,65418.17,true
1645,111696.33,0.0,111696.33,true
1616,211875.42,36470.17,248345.6,false
272,394832.78,39484.78,434317.56,false
988,20486.305,20325.04,40811.344,false
1528,347040.53,3494.56,350535.1,false
1682,149424.98,30748.51,180173.5,false
500,129121.5,0.0,129121.5,true
1239,34617.61,4083.24,38700.848,false
1635,78299.38,0.0,78299.38,true
869,14129.727,0.0,14129.727,true
867,173986.22,29664.56,203650.78,false
1523,4045.0728,0.0,4045.0728,true
101,69001.016,0.0,69001.016,true
893,129526.164,42410.07,171936.23,false
1754,82248.86,0.0,82248.86,true
627,301604.34,1224.35,302828.7,false
60,113754.17,0.0,113754.17,true
1386,147734.8,0.0,147734.8,true
1941,146670.94,30007.11,176678.05,false
189,61326.992,36.94,61363.934,false
479,152898.81,866.24,153765.05,false
1027,57007.7,23818.6,80826.3,false
638,116004.83,6584.22,122589.05,false
557,24462.379,0.0,24462.379,true
271,80083.97,0.0,80083.97,true
1791,90095.516,0.0,90095.516,true
673,55676.344,0.0,55676.344,true
24,237747.84,0.0,237747.84,true
1464,71315.95,24303.31,95619.266,false
1956,41730.18,16255.19,57985.37,false
1159,246304.39,20181.24,266485.62,false
729,206257.05,0.0,206257.05,true
1860,125121.41,37497.11,162618.52,false
1509,75069.19,6803.78,81872.97,false
1694,162124.72,47971.89,210096.61,false
969,70731.4,13394.85,84126.25,false
1857,275770.0,15847.64,291617.62,false
1320,40423.363,0.0,40423.363,true
1187,25949.674,0.0,25949.674,true
469,62618.523,0.0,62618.523,true
1084,128815.93,0.0,128815.93,true
128,75449.62,0.0,75449.62,true
1762,75487.555,32524.89,108012.445,false
1867,500284.78,11412.52,511697.3,false
1042,53136.176,49626.65,102762.83,false
726,29968.426,0.0,29968.426,true
1184,181187.47,48506.77,229694.23,false
680,221427.27,32436.33,253863.6,false
1015,97117.695,0.0,97117.695,true
459,65859.81,0.0,65859.81,true
1021,63169.33,0.0,63169.33,true
514,233895.06,0.0,233895.06,true
1288,45823.46,31380.3,77203.766,false
93,97354.35,11443.21,108797.56,false
1844,67222.69,1686.72,68909.41,false
1756,265899.7,0.0,265899.7,true
1073,71182.97,0.0,71182.97,true
360,12112.32,0.0,12112.32,true
339,119853.09,0.0,119853.09,true
589,185408.44,0.0,185408.44,true
347,178238.11,0.0,178238.11,true
1274,145692.05,0.0,145692.05,true
902,112610.664,9137.88,121748.55,false
1904,45121.535,39316.15,84437.69,false
597,38893.395,0.0,38893.395,true
944,94885.58,0.0,94885.58,true
1286,23829.12,35588.18,59417.297,false
1795,173368.9,15398.9,188767.81,false
683,12074.47,0.0,12074.47,true
114,137240.06,0.0,137240.06,true
972,84296.64,0.0,84296.64,true
931,4583.4316,0.0,4583.4316,true
684,173622.55,36215.44,209837.98,false
677,33446.477,0.0,33446.477,true
1810,94834.31,0.0,94834.31,true
634,143555.97,0.0,143555.97,true
150,15252.094,32025.25,47277.344,false
1345,80599.12,0.0,80599.12,true
1143,30518.54,39610.88,70129.42,false
925,506936.88,42403.27,549340.1,false
1719,82758.89,0.0,82758.89,true
1069,35943.695,0.0,35943.695,true
1987,185754.52,0.0,185754.52,true
1329,190080.81,0.0,190080.81,true
477,179848.47,0.0,179848.47,true
1435,98316.33,33453.67,131770.0,false
1457,51934.523,41476.48,93411.0,false
1828,79737.12,0.0,79737.12,true
1671,114947.78,0.0,114947.78,true
96,35711.32,0.0,35711.32,true
285,237589.4,30296.46,267885.88,false
1973,1819.4844,0.0,1819.4844,true
1613,136542.48,30153.84,166696.33,false
1136,112404.19,0.0,112404.19,true
1344,105230.14,0.0,105230.14,true
661,21972.53,0.0,21972.53,true
1670,12356.18,2705.28,15061.46,false
821,77592.5,36143.61,113736.11,false
1942,236659.11,5075.9,241735.02,false
57,123849.2,0.0,123849.2,true
242,117693.195,10967.98,128661.17,false
1561,402859.97,0.0,402859.97,true
1065,30883.588,0.0,30883.588,true
1873,210791.25,0.0,210791.25,true
612,4083.44,11791.76,15875.199,false
1422,111865.41,14865.86,126731.266,false
134,46036.79,2158.62,48195.41,false
1124,287937.47,1071.72,289009.2,false
994,163185.19,5567.36,168752.55,false
1783,183515.34,0.0,183515.34,true
1504,458.68945,0.0,458.68945,true
1918,13396.945,0.0,13396.945,true
1082,93465.625,0.0,93465.625,true
512,108788.125,2689.59,111477.72,false
772,53184.96,0.0,53184.96,true
103,54633.688,0.0,54633.688,true
935,302905.34,0.0,302905.34,true
207,6758.791,0.0,6758.791,true
1110,23983.172,0.0,23983.172,true
145,67789.42,0.0,67789.42,true
1705,2342.5361,49639.54,51982.074,false
350,14874.341,0.0,14874.341,true
1599,210433.25,9380.76,219814.02,false
510,199896.72,18445.38,218342.1,false
1343,144987.02,0.0,144987.02,true
1569,140333.56,22877.4,163210.97,false
662,127229.69,0.0,127229.69,true
639,111425.54,0.0,111425.54,true
1008,635.6133,0.0,635.6133,true
40,417118.47,0.0,417118.47,true
837,179195.14,0.0,179195.14,true
480,288796.47,23816.04,312612.5,false
1649,99696.86,0.0,99696.86,true
636,293270.94,0.0,293270.94,true
1738,377889.53,19406.01,397295.53,false
1087,107720.97,0.0,107720.97,true
645,70765.47,47095.43,117860.9,false
196,315843.97,0.0,315843.97,true
996,56598.598,0.0,56598.598,true
1158,53700.9,0.0,53700.9,true
614,47712.72,0.0,47712.72,true
1135,148094.84,0.0,148094.84,true
75,134054.05,1329.24,135383.28,false
119,12132.898,0.0,12132.898,true
1623,257757.42,0.0,257757.42,true
1688,84839.78,44400.65,129240.43,false
1683,43590.33,28508.6,72098.93,false
1978,362324.28,0.0,362324.28,true
368,197921.94,33454.04,231375.97,false
719,231303.95,1988.26,233292.22,false
1347,26201.512,0.0,26201.512,true
769,7864.817,0.0,7864.817,true
1872,87796.69,34078.44,121875.125,false
1206,35634.96,0.0,35634.96,true
939,121015.64,0.0,121015.64,true
86,172612.97,30034.91,202647.88,false
384,183314.7,0.0,183314.7,true
906,38732.9,0.0,38732.9,true
809,71555.69,2637.04,74192.73,false
1641,64911.336,0.0,64911.336,true
205,182524.42,40235.94,222760.36,false
1597,108929.81,0.0,108929.81,true
1234,406500.6,0.0,406500.6,true
257,70485.55,0.0,70485.55,true
1099,394743.03,14286.7,409029.72,false
1280,49429.062,0.0,49429.062,true
417,44243.832,6843.13,51086.96,false
1211,5164.1606,0.0,5164.1606,true
415,154636.5,39069.89,193706.39,false
1233,43120.07,0.0,43120.07,true
1666,25727.791,0.0,25727.791,true
1152,48675.09,0.0,48675.09,true
281,226062.53,0.0,226062.53,true
162,22077.53,9056.12,31133.648,false
1815,118316.375,0.0,118316.375,true
1363,40114.15,0.0,40114.15,true
250,82924.2,0.0,82924.2,true
1295,9868.557,29847.2,39715.758,false
975,61019.297,0.0,61019.297,true
640,205219.38,49277.46,254496.84,false
836,123785.55,19099.4,142884.95,false
42,9144.898,0.0,9144.898,true
768,43650.984,49743.26,93394.25,false
1816,117858.125,0.0,117858.125,true
1452,140866.64,7055.58,147922.22,false
758,125467.945,0.0,125467.945,true
1060,115216.14,0.0,115216.14,true
307,3491.335,15416.14,18907.475,false
429,47121.113,30099.11,77220.22,false
1497,91297.37,0.0,91297.37,true
335,150497.27,0.0,150497.27,true
1032,174594.6,0.0,174594.6,true
171,56584.562,35410.52,91995.08,false
66,77300.17,24721.79,102021.96,false
1193,21191.64,0.0,21191.64,true
465,83193.19,46702.63,129895.81,false
1848,80752.06,23414.78,104166.84,false
48,135901.83,0.0,135901.83,true
877,17442.227,0.0,17442.227,true
1961,24237.605,7571.92,31809.525,false
600,12881.12,0.0,12881.12,true
904,146185.19,0.0,146185.19,true
433,157859.69,0.0,157859.69,true
567,153167.27,28846.82,182014.1,false
349,16527.77,0.0,16527.77,true
9,127159.59,41718.04,168877.62,false
229,15601.059,0.0,15601.059,true
936,276455.8,37777.07,314232.88,false
262,95005.03,0.0,95005.03,true
847,29650.39,0.0,29650.39,true
794,246478.14,0.0,246478.14,true
964,204229.22,0.0,204229.22,true
1297,21998.455,0.0,21998.455,true
1636,25444.246,34248.98,59693.227,false
174,245982.92,19465.8,265448.72,false
736,37545.76,12622.67,50168.43,false
1379,70769.72,0.0,70769.72,true
1417,58492.848,0.0,58492.848,true
1324,91401.03,36994.34,128395.375,false
1238,100367.19,0.0,100367.19,true
703,65191.812,0.0,65191.812,true
338,1914.5586,31164.85,33079.406,false
1578,48709.875,10728.13,59438.004,false
1702,146623.55,0.0,146623.55,true
341,61229.945,49842.38,111072.33,false
1406,34699.97,0.0,34699.97,true
970,384467.9,18606.43,403074.34,false
825,214038.16,23435.07,237473.22,false
1201,108899.22,23639.97,132539.19,false
1240,19403.91,36191.8,55595.71,false
1932,233433.23,9836.93,243270.16,false
414,178521.31,41365.46,219886.78,false
695,1363.9131,0.0,1363.9131,true
1687,108612.125,19439.94,128052.06,false
1077,39953.72,0.0,39953.72,true
1438,93244.9,35157.76,128402.66,false
1902,76896.086,0.0,76896.086,true
475,138482.89,39130.75,177613.64,false
435,231012.75,38936.57,269949.3,false
1436,23855.355,0.0,23855.355,true
1962,119161.2,41489.19,160650.39,false
1230,49319.188,0.0,49319.188,true
206,47536.703,46241.68,93778.38,false
770,322400.47,36737.48,359137.94,false
1449,35121.055,0.0,35121.055,true
291,45943.203,17660.6,63603.805,false
602,263234.8,0.0,263234.8,true
1398,92096.04,0.0,92096.04,true
1317,61686.836,42688.01,104374.84,false
747,18633.434,1169.61,19803.043,false
1734,83479.23,0.0,83479.23,true
573,347028.4,7097.79,354126.2,false
1626,168871.88,0.0,168871.88,true
546,10409.67,0.0,10409.67,true
958,39753.777,0.0,39753.777,true
1751,107788.766,3345.98,111134.74,false
1878,11854.4375,0.0,11854.4375,true
210,310726.3,45542.1,356268.4,false
671,188361.02,33962.36,222323.38,false
1970,75525.914,0.0,75525.914,true
1332,79957.91,0.0,79957.91,true
1116,3557.3286,12459.12,16016.449,false
1643,100996.02,46022.12,147018.14,false
186,104463.13,9732.49,114195.625,false
951,87333.42,0.0,87333.42,true
1270,34210.1,0.0,34210.1,true
462,69911.18,0.0,69911.18,true
116,92477.25,43611.34,136088.6,false
678,70091.01,0.0,70091.01,true
1582,150127.2,0.0,150127.2,true
1484,47763.902,0.0,47763.902,true
422,87602.1,32771.21,120373.31,false
425,202196.06,14275.81,216471.88,false
989,27764.73,0.0,27764.73,true
1341,27295.438,26189.57,53485.008,false
1362,128826.92,24298.06,153124.98,false
354,462157.34,26695.07,488852.4,false
1186,7586.1045,49703.4,57289.504,false
1535,157070.61,0.0,157070.61,true
1667,43439.62,17480.5,60920.12,false
1907,94609.8,0.0,94609.8,true
256,9457.878,0.0,9457.878,true
704,175205.55,45251.57,220457.12,false
1311,223236.38,12947.51,236183.89,false
1372,77285.17,0.0,77285.17,true
863,105639.516,0.0,105639.516,true
1741,70694.89,0.0,70694.89,true
1219,70902.81,48702.94,119605.75,false
1315,38909.523,5645.94,44555.465,false
531,56439.53,0.0,56439.53,true
960,81875.66,0.0,81875.66,true
1335,49107.305,0.0,49107.305,true
1865,224887.7,48289.8,273177.5,false
12,112280.91,40641.89,152922.8,false
693,4020.2888,36156.82,40177.11,false
710,143483.16,0.0,143483.16,true
741,271870.78,0.0,271870.78,true
1893,53930.34,7628.91,61559.25,false
1764,188938.58,39450.96,228389.53,false
812,1325.3174,0.0,1325.3174,true
380,8189.575,25728.25,33917.824,false
1418,384265.9,30112.69,414378.6,false
1507,270903.06,19359.41,290262.47,false
1165,266407.7,43920.66,310328.34,false
685,1230.9863,0.0,1230.9863,true
1181,103800.51,32757.06,136557.56,false
1038,182418.38,42907.18,225325.56,false
1249,66469.7,14555.06,81024.766,false
1276,214737.08,0.0,214737.08,true
832,20756.771,0.0,20756.771,true
529,25381.9,0.0,25381.9,true
1584,84352.24,13499.58,97851.82,false
984,136192.16,0.0,136192.16,true
43,75208.92,0.0,75208.92,true
1013,128998.24,32723.04,161721.28,false
675,86993.5,0.0,86993.5,true
1459,35540.043,0.0,35540.043,true
124,167472.4,0.0,167472.4,true
698,27763.281,45096.47,72859.75,false
464,405393.75,9251.47,414645.22,false
1431,127064.3,0.0,127064.3,true
844,226737.36,3464.27,230201.62,false
204,162567.14,30497.97,193065.11,false
408,305489.0,46215.26,351704.25,false
1070,189959.53,0.0,189959.53,true
601,80246.28,49581.61,129827.89,false
787,46794.465,14068.19,60862.656,false
913,42590.742,35619.5,78210.24,false
1214,56949.758,6195.5,63145.258,false
1448,17539.395,0.0,17539.395,true
1814,34213.047,13663.28,47876.33,false
327,86936.91,0.0,86936.91,true
247,107154.38,0.0,107154.38,true
1709,174065.34,38436.69,212502.03,false
176,59742.566,0.0,59742.566,true
1416,152708.31,35764.24,188472.55,false
374,17008.531,19390.58,36399.11,false
1585,53170.324,0.0,53170.324,true
563,125292.125,0.0,125292.125,true
34,75229.03,10032.68,85261.71,false
1879,80030.5,41580.56,121611.06,false
511,189424.84,0.0,189424.84,true
1771,508397.7,0.0,508397.7,true
734,42117.754,0.0,42117.754,true
651,184649.75,0.0,184649.75,true
1252,130595.46,0.0,130595.46,true
1876,94918.11,33091.13,128009.234,false
38,103429.56,44528.59,147958.16,false
1576,15515.543,0.0,15515.543,true
1463,83536.31,0.0,83536.31,true
1493,86159.27,0.0,86159.27,true
1382,13626.448,0.0,13626.448,true
1761,72217.34,18903.42,91120.766,false
503,293235.44,0.0,293235.44,true
621,42906.71,32098.48,75005.19,false
1374,30011.418,7184.29,37195.707,false
1662,164431.81,20590.28,185022.1,false
47,69931.79,0.0,69931.79,true
1555,210094.17,0.0,210094.17,true
473,168156.94,0.0,168156.94,true
1708,91031.734,0.0,91031.734,true
547,140653.25,25177.4,165830.66,false
681,112719.16,0.0,112719.16,true
851,4618.114,0.0,4618.114,true
1842,45204.844,0.0,45204.844,true
609,424263.5,0.0,424263.5,true
1665,293985.8,41389.44,335375.25,false
1804,53559.203,133.59,53692.793,false
364,54407.367,0.0,54407.367,true
946,45294.555,0.0,45294.555,true
1334,27163.549,0.0,27163.549,true
705,31368.062,28988.3,60356.363,false
334,23374.412,45470.48,68844.89,false
912,36088.43,0.0,36088.43,true
910,18716.17,0.0,18716.17,true
97,98237.58,0.0,98237.58,true
1432,77682.71,0.0,77682.71,true
731,66758.8,32374.57,99133.37,false
379,121126.18,4834.15,125960.33,false
914,298330.9,15567.7,313898.6,false
1479,150154.72,43104.21,193258.94,false
1351,226424.62,0.0,226424.62,true
1556,67508.27,0.0,67508.27,true
370,40052.668,0.0,40052.668,true
1955,32212.89,21702.99,53915.883,false
947,233372.97,0.0,233372.97,true
482,177831.3,0.0,177831.3,true
108,2338.3066,0.0,2338.3066,true
1758,60121.383,2361.9,62483.28,false
78,17162.102,0.0,17162.102,true
730,12218.609,0.0,12218.609,true
1718,224985.88,1259.51,226245.39,false
1856,18904.602,0.0,18904.602,true
1169,216394.08,27030.99,243425.06,false
309,182127.78,40894.55,223022.33,false
1126,22468.705,0.0,22468.705,true
985,87938.14,6570.77,94508.914,false
841,150205.89,0.0,150205.89,true
130,163806.5,0.0,163806.5,true
780,59932.21,0.0,59932.21,true
1306,12891.358,0.0,12891.358,true
1194,24769.639,0.0,24769.639,true
528,183504.64,34929.99,218434.62,false
1946,32682.086,41637.13,74319.22,false
343,227929.1,0.0,227929.1,true
916,82018.27,44084.19,126102.47,false
1809,119261.97,29799.98,149061.95,false
1622,64473.66,0.0,64473.66,true
625,385087.8,13640.42,398728.22,false
810,143941.23,29571.39,173512.62,false
382,61747.156,0.0,61747.156,true
1475,105.68359,0.0,105.68359,true
279,117253.43,18015.61,135269.03,false
1780,181827.1,31921.93,213749.03,false
1601,13244.715,7173.86,20418.574,false
1692,52285.336,0.0,52285.336,true
928,383885.12,33823.82,417708.94,false
1237,283530.22,28484.33,312014.56,false
1632,6984.042,43601.27,50585.312,false
154,556797.75,0.0,556797.75,true
36,132439.31,0.0,132439.31,true
1841,203536.08,0.0,203536.08,true
1608,354490.5,9153.67,363644.16,false
1560,69664.17,0.0,69664.17,true
930,163550.16,0.0,163550.16,true
1817,46426.906,39263.06,85689.97,false
1610,49384.875,0.0,49384.875,true
1630,211882.94,0.0,211882.94,true
107,14872.566,0.0,14872.566,true
1517,18842.004,40147.05,58989.055,false
